50006610|Utrecht, Janskerkhof|NOTACCESSIBLE|NOTACCESSIBLE
59150520|Utrecht, Jan van Zutphenlaan|NOTACCESSIBLE|NOTACCESSIBLE
57142220|Amsterdam, Station Zuid|ACCESSIBLE|UNKNOWN
51220310|Nieuwegein, Merwesteintunnel|NOTACCESSIBLE|NOTACCESSIBLE
32000408|Stalpertstraat|ACCESSIBLE|ACCESSIBLE
32000911|Prins Mauritsplein|ACCESSIBLE|ACCESSIBLE
32001407|de Savornin Lohmanlaan|ACCESSIBLE|ACCESSIBLE
32005304|Generaal Spoorlaan|ACCESSIBLE|ACCESSIBLE
32008105|Stadhuis|ACCESSIBLE|ACCESSIBLE
32000431|Wassenaarseweg|ACCESSIBLE|ACCESSIBLE
32001809|Groen van Prinstererlaan|ACCESSIBLE|ACCESSIBLE
32002650|Juliana van Stolberglaan|ACCESSIBLE|ACCESSIBLE
32002823|Brouwersgracht|ACCESSIBLE|ACCESSIBLE
32003362|Randveen|ACCESSIBLE|ACCESSIBLE
32000223|Duinkerksestraat|ACCESSIBLE|ACCESSIBLE
32000224|Duinkerksestraat|ACCESSIBLE|ACCESSIBLE
32000418|Groenhovenstraat|ACCESSIBLE|ACCESSIBLE
32000225|Doorniksestraat|ACCESSIBLE|ACCESSIBLE
32000928|Statenplein|ACCESSIBLE|ACCESSIBLE
32000405|Waalsdorperweg|ACCESSIBLE|ACCESSIBLE
32000910|Prins Mauritsplein|ACCESSIBLE|ACCESSIBLE
32000403|Bronovo Ziekenhuis|ACCESSIBLE|ACCESSIBLE
32001405|Arabislaan|ACCESSIBLE|ACCESSIBLE
32001428|De Savornin Lohmanplein|ACCESSIBLE|ACCESSIBLE
32001508|Kijkduinsestraat|ACCESSIBLE|ACCESSIBLE
32002502|Overbosch|ACCESSIBLE|ACCESSIBLE
32000222|Gentsestraat|ACCESSIBLE|ACCESSIBLE
32000226|Doorniksestraat|ACCESSIBLE|ACCESSIBLE
32000429|Van Hoytemastraat|ACCESSIBLE|ACCESSIBLE
32000430|Wassenaarseweg|ACCESSIBLE|ACCESSIBLE
32000310|Maurits de Brauwweg|ACCESSIBLE|ACCESSIBLE
32000407|Else Mauhslaan|ACCESSIBLE|ACCESSIBLE
32000441|Laan van Clingendael|ACCESSIBLE|ACCESSIBLE
32000227|Pompstationsweg|ACCESSIBLE|ACCESSIBLE
42001001|Delft, Arubastraat|ACCESSIBLE|ACCESSIBLE
42001301|Delft, Buitenhofdreef|ACCESSIBLE|ACCESSIBLE
42001902|Delft, Botanische Tuin|ACCESSIBLE|ACCESSIBLE
32005509|Minister van den Tempellaan|ACCESSIBLE|ACCESSIBLE
32008124|Delftsewallen|ACCESSIBLE|ACCESSIBLE
32009003|Brasserskade|ACCESSIBLE|ACCESSIBLE
42000901|Delft, van Adrichemstraat|ACCESSIBLE|ACCESSIBLE
42067701|Den Haag, Prinses Marijkestraat|ACCESSIBLE|NOTACCESSIBLE
54510190|Zoetermeer, Benthuizenstraat|ACCESSIBLE|NOTACCESSIBLE
42017502|Den Haag, Ockenrode|ACCESSIBLE|NOTACCESSIBLE
42000601|Den Hoorn, RK Kerk|ACCESSIBLE|NOTACCESSIBLE
42056201|Wassenaar, de Kieviet|ACCESSIBLE|NOTACCESSIBLE
42064901|Zoetermeer, Sportcentrum De Veur|ACCESSIBLE|NOTACCESSIBLE
54140340|Den Haag, Viaduct|ACCESSIBLE|NOTACCESSIBLE
54142040|Den Haag, Waalsdorperlaan|ACCESSIBLE|NOTACCESSIBLE
32002728|Station Hollands Spoor|ACCESSIBLE|NOTACCESSIBLE
42007801|Delft, Zuidpoort|ACCESSIBLE|NOTACCESSIBLE
42014201|Den Haag, Kaapseplein|ACCESSIBLE|NOTACCESSIBLE
54140330|Den Haag, Viaduct|ACCESSIBLE|NOTACCESSIBLE
32001835|Pisuissestraat|ACCESSIBLE|NOTACCESSIBLE
42061002|Zoetermeer, Frederik Hendriklaan|ACCESSIBLE|NOTACCESSIBLE
42061302|Zoetermeer, Gouderakstraat|ACCESSIBLE|NOTACCESSIBLE
42062901|Zoetermeer, Meerzichtlaan|ACCESSIBLE|NOTACCESSIBLE
